sequence_id,type,start,end,strand,locus_tag_bakta,gene,flag,product,dbxrefs,name
chromosome,cds,9256,10134,+,CS12_00011,dgoK,cds,2-dehydro-3-deoxygalactonokinase,"BlastRules:WP_000127091, EC:2.7.1.58, GO:0005524, GO:0008671, GO:0034194, KEGG:K00883, RefSeq:WP_000127091.1, SO:0001217, UniParc:UPI0000129222, UniRef:UniRef100_P31459, UniRef:UniRef50_P31459, UniRef:UniRef90_P31459",dgoK
chromosome,cds,10118,10735,+,CS12_00012,dgoA,cds,2-dehydro-3-deoxy-6-phosphogalactonate aldolase,"BlastRules:WP_001198722, COG:COG0800, COG:G, EC:4.1.2.21, GO:0008674, GO:0034194, KEGG:K01631, RefSeq:WP_001198722.1, SO:0001217, UniParc:UPI00003B2609, UniRef:UniRef100_Q6BF16, UniRef:UniRef50_Q6BF16, UniRef:UniRef90_Q6BF16",dgoA
chromosome,cds,10732,11880,+,CS12_00013,dgoD,cds,galactonate dehydratase,"EC:4.2.1.6, GO:0000287, GO:0008869, GO:0009063, GO:0034194, RefSeq:WP_000705001.1, SO:0001217, UniParc:UPI00003B2608, UniRef:UniRef100_Q6BF17, UniRef:UniRef50_Q6BF17, UniRef:UniRef90_Q6BF17",dgoD
chromosome,cds,12000,13292,+,CS12_00014,dgoT,cds,D-galactonate transporter,"COG:COG2271, COG:G, GO:0005886, GO:0015295, GO:0034194, GO:0042875, GO:0042881, RefSeq:WP_000354284.1, SO:0001217, UniParc:UPI0000129224, UniRef:UniRef100_P0AA76, UniRef:UniRef50_P0AA76, UniRef:UniRef90_P0AA76",dgoT
chromosome,cds,13289,14353,-,CS12_00015,cbrA,cds,colicin M resistance protein,"BlastRules:WP_001340434, COG:C, COG:COG0644, GO:0071949, RefSeq:WP_001340434.1, SO:0001217, UniParc:UPI0000683E96, UniRef:UniRef100_P31456, UniRef:UniRef50_P31456, UniRef:UniRef90_P31456",cbrA
chromosome,cds,14454,15668,+,CS12_00016,yidR,cds,putative protein YidR,"GO:0046397, RefSeq:WP_001336371.1, SO:0001217, UniParc:UPI0000683E97, UniRef:UniRef100_P31455, UniRef:UniRef50_P31455, UniRef:UniRef90_P31455",yidR
chromosome,cds,15670,15930,-,CS12_00017,yidQ,cds,putative protein YidQ,"COG:COG5645, COG:S, GO:0006974, GO:0009279, RefSeq:WP_000019930.1, SO:0001217, UniParc:UPI00005EEB0C, UniRef:UniRef100_C3SLQ7, UniRef:UniRef50_P0ADM4, UniRef:UniRef90_P0ADM4",yidQ
chromosome,ncRNA-region,16242,16314,+,,,ncRNA-region,Repression of heat shock gene expression (ROSE) element,"RFAM:RF01832, SO:0002168",ROSE
chromosome,cds,16308,16721,+,CS12_00018,ibpA,cds,small heat shock chaperone IbpA,"COG:COG0071, COG:O, GO:0005737, GO:0006950, GO:0050821, GO:0051082, KEGG:K04080, RefSeq:WP_001243437.1, SO:0001217, UniParc:UPI000012D123, UniRef:UniRef100_P0C054, UniRef:UniRef50_P0C054, UniRef:UniRef90_P0C054",ibpA
chromosome,cds,16833,17261,+,CS12_00019,ibpB,cds,small heat shock chaperone IbpB,"COG:COG0071, COG:O, GO:0005737, GO:0006950, GO:0050821, GO:0051082, KEGG:K04080, RefSeq:WP_001243431.1, SO:0001217, UniParc:UPI000012D125, UniRef:UniRef100_P0C058, UniRef:UniRef50_P0C058, UniRef:UniRef90_P0C058",ibpB
chromosome,cds,17457,19118,+,CS12_00020,yidE,cds,putative transporter,"COG:COG2985, COG:R, GO:0005886, GO:0006813, GO:0008324, KEGG:K07085, RefSeq:WP_001279752.1, SO:0001217, UniParc:UPI000013B3AC, UniRef:UniRef100_P60872, UniRef:UniRef50_P60872, UniRef:UniRef90_P60872",yidE
chromosome,cds,19115,19831,-,CS12_00021,yidP,cds,putative HTH-type transcriptional regulator YidP,"COG:COG2188, COG:K, GO:0003677, GO:0003700, GO:0045892, KEGG:K03482, RefSeq:WP_001300779.1, SO:0001217, UniParc:UPI000013B3B7, UniRef:UniRef100_P31453, UniRef:UniRef50_P31453, UniRef:UniRef90_P31453",yidP
chromosome,cds,20126,21742,+,CS12_00022,glvC,cds,PTS sugar transporter subunit IIB,"EC:2.7.1.-, GO:0005886, GO:0008643, GO:0008982, GO:0009401, GO:0090563, KEGG:K02750, RefSeq:WP_000952141.1, SO:0001217, UniParc:UPI00005F0155, UniRef:UniRef100_P31452, UniRef:UniRef50_P31452, UniRef:UniRef90_P31452",glvC
chromosome,cds,21742,22380,+,CS12_00023,glvG,cds,Putative inactive 6-phospho-alpha-glucosidase,"GO:0004553, GO:0005975, GO:0016616, GO:0046872, SO:0001217, UniParc:UPI000012B84A, UniRef:UniRef100_P31450, UniRef:UniRef50_P31450, UniRef:UniRef90_P31450",glvG
chromosome,cds,22380,22556,+,CS12_00024,,cds,6-phospho-alpha-glucosidase,"EC:3.2.1.122, KEGG:K01232, RefSeq:WP_000082801.1, SO:0001217, UniParc:UPI00005EEB0F, UniRef:UniRef100_A0A024LBB6, UniRef:UniRef50_A0A024LBB6, UniRef:UniRef90_A0A024LBB6",6-phospho-alpha-glucosidase
chromosome,cds,22553,23446,-,CS12_00025,yidL,cds,putative HTH-type transcriptional regulator YidL,"GO:0003700, GO:0043565, RefSeq:WP_001013540.1, SO:0001217, UniParc:UPI00015C4D8B, UniRef:UniRef100_P31449, UniRef:UniRef50_P31449, UniRef:UniRef90_P31449",yidL
chromosome,cds,23613,25328,+,CS12_00026,yidK,cds,solute:sodium symporter family transporter,"GO:0005412, GO:0005886, GO:0016020, GO:0022857, GO:0055085, RefSeq:WP_001087145.1, SO:0001217, UniParc:UPI000013B3B5, UniRef:UniRef100_P31448, UniRef:UniRef50_P31448, UniRef:UniRef90_P31448",yidK
chromosome,cds,25325,26818,+,CS12_00027,yidJ,cds,putative sulfatase YidJ,"COG:COG3119, COG:P, EC:3.1.6.-, GO:0004065, GO:0046872, RefSeq:WP_000828527.1, SO:0001217, UniParc:UPI000013B3B4, UniRef:UniRef100_P31447, UniRef:UniRef50_P31447, UniRef:UniRef90_P31447",yidJ
chromosome,cds,26865,27314,-,CS12_00028,yidI,cds,Inner membrane protein YidI,"GO:0005886, RefSeq:WP_000511289.1, SO:0001217, UniParc:UPI000013B3B3, UniRef:UniRef100_P31446, UniRef:UniRef50_P31446, UniRef:UniRef90_P31446",yidI
chromosome,cds,27422,27769,+,CS12_00029,yidH,cds,Inner membrane protein YidH,"COG:COG2149, COG:S, GO:0005886, KEGG:K00389, RefSeq:WP_000703959.1, SO:0001217, UniParc:UPI000013B3B2, UniRef:UniRef100_P0ADM0, UniRef:UniRef50_P0ADM0, UniRef:UniRef90_P0ADM0",yidH
chromosome,cds,27759,28121,+,CS12_00030,yidG,cds,Inner membrane protein YidG,"GO:0005886, KEGG:K00389, RefSeq:WP_001113432.1, SO:0001217, UniParc:UPI000013B3B1, UniRef:UniRef100_P0ADL6, UniRef:UniRef50_P0ADL6, UniRef:UniRef90_P0ADL6",yidG
chromosome,cds,28118,28615,+,CS12_00031,yidF,cds,putative protein YidF,"GO:0016491, RefSeq:WP_000148061.1, SO:0001217, UniParc:UPI000013B3B0, UniRef:UniRef100_P31443, UniRef:UniRef50_P31443, UniRef:UniRef90_P31443",yidF
chromosome,cds,28623,29807,-,CS12_00032,emrD,cds,multidrug efflux MFS transporter EmrD,"BlastRules:WP_000828740, BlastRules:WP_000828746, BlastRules:WP_115740452, COG:COG2814, COG:G, GO:0005886, GO:0016020, GO:0022857, GO:0042908, GO:0042910, GO:1990961, KEGG:K08154, NCBIProtein:BAE77620.1, RefSeq:WP_000828746.1, SO:0001217, UniParc:UPI0000129EB0, UniRef:UniRef100_P31442, UniRef:UniRef50_P31442, UniRef:UniRef90_P31442",emrD
chromosome,sorf,29889,29963,+,CS12_00033,ysdE,sorf,Protein YsdE,"RefSeq:WP_211180519.1, SO:0001217, UniParc:UPI00107E6401, UniRef:UniRef100_P0DSH6, UniRef:UniRef50_P0DSH6, UniRef:UniRef90_P0DSH6",ysdE
chromosome,cds,30087,30176,-,CS12_00034,tisB,cds,Small toxic protein TisB,"GO:0005253, GO:0005886, GO:0006974, GO:0009432, GO:0016020, GO:0022611, RefSeq:WP_001054909.1, SO:0001217, UniParc:UPI0000602F2B, UniRef:UniRef100_A5A627, UniRef:UniRef50_A5A627, UniRef:UniRef90_A5A627",tisB
chromosome,composite transposon,30424,68664,,,,cn,predicted cn,MobileElementFinder_inferred,cn_38240_ISKox3
chromosome,,30425,31740,-,,,IS,,,ISKox3
chromosome,cds,30453,31673,-,CS12_00035,tnp,cds,ISL3 family ISKox3 transposase,"GO:0004803, IS:ISKox3, RefSeq:WP_000343760.1, SO:0001217, UniParc:UPI00019B167E, UniRef:UniRef100_E0WGV9, UniRef:UniRef50_A0A7G3L4I5, UniRef:UniRef90_A0A2S0NSZ1",tnp
chromosome,ncRNA,31806,31935,+,CS12_00036,istR,ncRNA,istR Hfq binding RNA,"RFAM:RF01400, SO:0000655",istR
chromosome,cds,32065,32163,+,CS12_00037,ivbL,cds,ilvB operon leader peptide IvbL,"GO:0009099, RefSeq:WP_001300753.1, SO:0001217, UniParc:UPI000003EB0E, UniRef:UniRef100_P03061, UniRef:UniRef50_P03061, UniRef:UniRef90_P03061",ivbL
chromosome,cds,32269,33957,+,CS12_00038,ilvB,cds,acetolactate synthase large subunit,"COG:COG0028, COG:EH, EC:2.2.1.6, GO:0000287, GO:0003984, GO:0005948, GO:0009082, GO:0009097, GO:0009099, GO:0030976, GO:0050660, RefSeq:WP_000168475.1, SO:0001217, UniParc:UPI000003EB0D, UniRef:UniRef100_P08142, UniRef:UniRef50_P08142, UniRef:UniRef90_P08142",ilvB
chromosome,cds,33961,34251,+,CS12_00039,ilvN,cds,acetolactate synthase small subunit,"EC:2.2.1.6, GO:0003984, GO:0005829, GO:0005948, GO:0009082, GO:0009097, GO:0009099, GO:1990610, KEGG:K01653, RefSeq:WP_001181706.1, SO:0001217, UniParc:UPI000003EB0C, UniRef:UniRef100_P0ADF8, UniRef:UniRef50_P0ADF8, UniRef:UniRef90_P0ADF8",ilvN
chromosome,cds,34326,34916,+,CS12_00040,uhpA,cds,DNA-binding response regulator UhpA,"EC:2.2.1.6, GO:0000160, GO:0000287, GO:0003677, GO:0003984, GO:0005737, GO:0006355, GO:0009082, GO:0030976, GO:0050660, KEGG:K01652, RefSeq:WP_000633668.1, SO:0001217, UniParc:UPI0000137B19, UniRef:UniRef100_P0AGA6, UniRef:UniRef50_P0AGA6, UniRef:UniRef90_P0AGA6",uhpA
chromosome,cds,34916,36418,+,CS12_00041,uhpB,cds,signal transduction histidine-protein kinase/phosphatase UhpB,"COG:COG3851, COG:T, EC:2.7.13.3, EC:3.1.3.-, GO:0000155, GO:0000160, GO:0004721, GO:0005524, GO:0005886, GO:0046983, RefSeq:WP_001295243.1, SO:0001217, UniParc:UPI0000137B1B, UniRef:UniRef100_P09835, UniRef:UniRef50_P09835, UniRef:UniRef90_P09835",uhpB
chromosome,cds,36428,37747,+,CS12_00042,uhpC,cds,MFS transporter family glucose-6-phosphate receptor UhpC,"BlastRules:WP_000936566, GO:0000160, GO:0005886, GO:0015760, GO:0016020, GO:0035435, GO:0061513, RefSeq:WP_000936566.1, SO:0001217, UniParc:UPI0000137B1D, UniRef:UniRef100_P09836, UniRef:UniRef50_P09836, UniRef:UniRef90_P09836",uhpC
chromosome,cds,37885,39276,+,CS12_00043,uhpT,cds,hexose phosphate transporter UhpT,"COG:COG2271, COG:G, GO:0005886, GO:0022857, GO:0035435, GO:0055085, GO:0061513, KEGG:K07784, RefSeq:WP_000879194.1, SO:0001217, UniParc:UPI0000137B21, UniRef:UniRef100_P0AGC0, UniRef:UniRef50_P0AGC0, UniRef:UniRef90_P0AGC0",uhpT
chromosome,cds,39322,41088,-,CS12_00044,adeD,cds,adenine deaminase,"COG:COG1001, COG:F, EC:3.5.4.2, GO:0000034, GO:0006146, KEGG:K01486, RefSeq:WP_001065718.1, SO:0001217, UniParc:UPI0000047C5E, UniRef:UniRef100_P31441, UniRef:UniRef50_P31441, UniRef:UniRef90_P31441",adeD
chromosome,cds,41263,42597,+,CS12_00045,adeQ,cds,adenine permease AdeQ,"BlastRules:WP_001403836, GO:0005886, GO:0015207, GO:0015853, KEGG:K06901, RefSeq:WP_001403836.1, SO:0001217, UniParc:UPI0000683E98, UniRef:UniRef100_P31440, UniRef:UniRef50_P31466, UniRef:UniRef90_P31440",adeQ
chromosome,cds,42650,43102,+,CS12_00046,yicN,cds,putative protein YicN,"RefSeq:WP_001295241.1, SO:0001217, UniParc:UPI0000683E99, UniRef:UniRef100_P0ADL3, UniRef:UniRef50_P0ADL3, UniRef:UniRef90_P0ADL3",yicN
chromosome,cds,43265,44503,+,CS12_00047,nepI,cds,purine ribonucleoside efflux pump NepI,"GO:0005886, GO:0015211, GO:0015297, GO:0015860, GO:0016020, GO:0022857, GO:0055085, KEGG:K03445, SO:0001217, UniParc:UPI000013B39E, UniRef:UniRef100_A0A024LCA0, UniRef:UniRef50_P0ADL1, UniRef:UniRef90_P0ADL1",nepI
chromosome,cds,44544,44837,-,CS12_00048,yicS,cds,putative protein YicS,"RefSeq:WP_000805509.1, SO:0001217, UniParc:UPI00001B5138, UniRef:UniRef100_Q2M7X4, UniRef:UniRef50_Q8X4C9, UniRef:UniRef90_Q2M7X4",yicS
chromosome,cds,45059,45877,+,CS12_00049,nlpA,cds,lipoprotein NlpA,"COG:COG1464, COG:P, GO:0005886, GO:0015821, KEGG:K02073, RefSeq:WP_000779426.1, SO:0001217, UniParc:UPI000013021B, UniRef:UniRef100_P04846, UniRef:UniRef50_P04846, UniRef:UniRef90_P04846",nlpA
chromosome,cds,45881,46804,-,CS12_00050,yicL,cds,carboxylate/amino acid/amine transporter,"COG:COG0697, COG:GER, GO:0005886, GO:0016020, RefSeq:WP_000535961.1, SO:0001217, UniParc:UPI000013B39C, UniRef:UniRef100_P31437, UniRef:UniRef50_P31437, UniRef:UniRef90_P31437",yicL
chromosome,cds,46915,48099,-,CS12_00051,setC,cds,Sugar efflux transporter C,"GO:0005351, GO:0005886, GO:0015767, GO:0036448, GO:1904659, RefSeq:WP_001172898.1, SO:0001217, UniParc:UPI0001DC5808, UniRef:UniRef100_A0A1X9TH22, UniRef:UniRef50_P33026, UniRef:UniRef90_P31436",setC
chromosome,tRNA,48736,48830,-,CS12_00052,trnU,tRNA,tRNA-SeC(tca),SO:0005857,trnU
chromosome,cds,49123,50505,+,CS12_00053,yicJ,cds,glycoside-pentoside-hexuronide family transporter,"GO:0005886, GO:0006814, GO:0008643, GO:0015293, GO:0016020, GO:0055085, RefSeq:WP_000834439.1, SO:0001217, UniParc:UPI000013B39B, UniRef:UniRef100_P31435, UniRef:UniRef50_P31435, UniRef:UniRef90_P31435",yicJ
chromosome,cds,50515,52833,+,CS12_00054,yicI,cds,alpha-xylosidase,"EC:3.2.1.177, GO:0004553, GO:0005975, GO:0030246, GO:0042802, GO:0061634, GO:0080176, RefSeq:WP_023149709.1, SO:0001217, UniParc:UPI0003BAEF7A, UniRef:UniRef100_A0A1X9TGM9, UniRef:UniRef50_P31434, UniRef:UniRef90_P31434",yicI
chromosome,cds,52886,54595,-,CS12_00055,yicH,cds,AsmA family protein YicH,"RefSeq:WP_001333730.1, SO:0001217, UniParc:UPI0001DBCC86, UniRef:UniRef100_A0A0G9G6C1, UniRef:UniRef50_P31433, UniRef:UniRef90_P31433",yicH
chromosome,cds,54716,56107,-,CS12_00056,xanP,cds,xanthine/proton symporter XanP,"BlastRules:WP_001295238, COG:COG2233, COG:F, GO:0005886, GO:0042907, KEGG:K16345, RefSeq:WP_001295238.1, SO:0001217, UniParc:UPI000013B395, UniRef:UniRef100_P0AGM9, UniRef:UniRef50_P0AGM9, UniRef:UniRef90_P0AGM9",xanP
chromosome,cds,56387,57592,+,CS12_00057,gltS,cds,sodium/glutamate symporter,"COG:COG0786, COG:E, GO:0005886, GO:0015501, GO:0015813, GO:0016020, RefSeq:WP_000468833.1, SO:0001217, UniParc:UPI000011EE57, UniRef:UniRef100_P0AER8, UniRef:UniRef50_P0AER8, UniRef:UniRef90_P0AER8",gltS
chromosome,cds,57758,59839,-,CS12_00058,recG,cds,ATP-dependent DNA helicase RecG,"COG:COG1200, COG:L, EC:3.6.4.12, EC:5.6.2.4, GO:0003676, GO:0003677, GO:0003678, GO:0003689, GO:0005524, GO:0005829, GO:0006281, GO:0006310, GO:0009314, GO:0009378, GO:0009379, GO:0016853, GO:0016887, GO:0032508, GO:0036121, GO:0061749, GO:0061775, GO:0071932, GO:0140584, GO:0140665, GO:0140849, GO:1990518, RefSeq:WP_000678480.1, SO:0001217, UniParc:UPI0001B53098, UniRef:UniRef100_A0A0A6RLU6, UniRef:UniRef50_P24230, UniRef:UniRef90_P24230",recG
chromosome,cds,59845,60534,-,CS12_00059,trmH,cds,tRNA (guanosine(18)-2'-O)-methyltransferase TrmH,"COG:COG0566, COG:J, EC:2.1.1.34, GO:0000049, GO:0002938, GO:0030488, GO:0141100, SO:0001217, UniRef:UniRef50_P0AGJ2, UniRef:UniRef90_P0AGJ2",trmH
chromosome,cds,60541,62649,-,CS12_00060,spoT,cds,"bifunctional GTP diphosphokinase/guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase","COG:COG0317, COG:TK, EC:2.7.6.5, EC:3.1.7.2, GO:0005886, GO:0008728, GO:0008893, GO:0015969, GO:0015970, GO:0042594, KEGG:K01139, RefSeq:WP_000280488.1, SO:0001217, UniParc:UPI000003EB28, UniRef:UniRef100_P0AG24, UniRef:UniRef50_P0AG24, UniRef:UniRef90_P0AG24",spoT
chromosome,cds,62668,62943,-,CS12_00061,gmk,cds,guanylate kinase,"COG:COG1758, COG:K, EC:2.7.4.8, EC:2.7.7.6, GO:0000428, GO:0001054, GO:0001055, GO:0001056, GO:0001057, GO:0001058, GO:0001066, GO:0003677, GO:0004385, GO:0006163, RefSeq:WP_000135058.1, SO:0001217, UniParc:UPI000003EB27, UniRef:UniRef100_A8ARN6, UniRef:UniRef50_P60546, UniRef:UniRef90_A8ARN6",gmk
chromosome,cds,62998,63621,-,CS12_00062,gmk,cds,guanylate kinase,"COG:COG0194, COG:F, EC:2.7.4.8, GO:0004385, GO:0005524, GO:0005829, GO:0006163, RefSeq:WP_001295237.1, SO:0001217, UniParc:UPI000012DDDD, UniRef:UniRef100_P60546, UniRef:UniRef50_P60546, UniRef:UniRef90_P60546",gmk
chromosome,cds,63879,65561,+,CS12_00063,ligB,cds,NAD-dependent DNA ligase LigB,"EC:6.5.1.2, GO:0003911, GO:0006260, GO:0006281, RefSeq:WP_000870048.1, SO:0001217, UniParc:UPI0001B53099, UniRef:UniRef100_A0A0A6RLU0, UniRef:UniRef50_P25772, UniRef:UniRef90_P25772",ligB
chromosome,cds,65558,66175,-,CS12_00064,yicG,cds,UPF0126 inner membrane protein YicG,"COG:COG2860, COG:P, GO:0005886, RefSeq:WP_000924289.1, SO:0001217, UniParc:UPI000013B397, UniRef:UniRef100_P0AGM2, UniRef:UniRef50_P0AGM2, UniRef:UniRef90_P0AGM2",yicG
chromosome,cds,66467,67291,-,CS12_00065,dinD,cds,DNA damage-inducible protein D,"GO:0006974, GO:0009432, KEGG:K14623, RefSeq:WP_001336364.1, SO:0001217, UniParc:UPI0001B5309A, UniRef:UniRef100_A0A0H0M9K8, UniRef:UniRef50_P23840, UniRef:UniRef90_P23840",dinD
chromosome,IS_ir,67336,67370,,,,IS_ir,,,ISL3_ir
chromosome,,67336,68677,-,,,IS,,,ISKox3
chromosome,cds,67377,68597,-,CS12_00066,tnp,cds,ISL3 family ISKox3 transposase,"GO:0004803, IS:ISKox3, RefSeq:WP_000343760.1, SO:0001217, UniParc:UPI00019B167E, UniRef:UniRef100_E0WGV9, UniRef:UniRef50_A0A7G3L4I5, UniRef:UniRef90_A0A2S0NSZ1",tnp
chromosome,IS_ir,68643,68677,,,,IS_ir,,,ISL3_ir
chromosome,cds,68837,69700,-,CS12_00067,yicC,cds,putative endoribonuclease YicC,"COG:COG1561, COG:J, EC:3.1.26.-, GO:0004521, RefSeq:WP_000621340.1, SO:0001217, UniParc:UPI000003EAEA, UniRef:UniRef100_P23839, UniRef:UniRef50_P23839, UniRef:UniRef90_P23839",yicC
chromosome,cds,69827,70543,+,CS12_00068,rph,cds,ribonuclease PH,"COG:COG0689, COG:J, EC:2.7.7.56, GO:0000049, GO:0000175, GO:0006364, GO:0008033, GO:0009022, GO:0016075, KEGG:K00989, RefSeq:WP_001247093.1, SO:0001217, UniParc:UPI0000134458, UniRef:UniRef100_A7ZTJ4, UniRef:UniRef50_P0CG19, UniRef:UniRef90_P0CG19",rph
chromosome,cds,70608,71249,+,CS12_00069,pyrE,cds,Orotate phosphoribosyltransferase,"COG:COG0461, COG:F, EC:2.4.2.10, GO:0000287, GO:0004588, GO:0005737, GO:0006207, GO:0044205, GO:0046132, RefSeq:WP_000806177.1, SO:0001217, UniParc:UPI00001128D0, UniRef:UniRef100_P0A7E3, UniRef:UniRef50_P0A7E3, UniRef:UniRef90_P0A7E3",pyrE
chromosome,cds,71286,71882,-,CS12_00070,slmA,cds,nucleoid occlusion factor SlmA,"COG:COG1309, COG:K, GO:0000976, GO:0003677, GO:0003700, GO:0005737, GO:0010974, GO:0043590, GO:0051301, KEGG:K05501, RefSeq:WP_000818601.1, SO:0001217, UniParc:UPI00001377A3, UniRef:UniRef100_P0C093, UniRef:UniRef50_P0C093, UniRef:UniRef90_P0C093",slmA
chromosome,cds,71989,72447,-,CS12_00071,dut,cds,dUTP diphosphatase,"COG:COG0756, COG:FV, EC:3.6.1.23, GO:0000287, GO:0004170, GO:0006226, GO:0046081, RefSeq:WP_000976070.1, SO:0001217, UniParc:UPI0000167DF0, UniRef:UniRef100_P64007, UniRef:UniRef50_P06968, UniRef:UniRef90_P64007",dut
chromosome,cds,72425,73645,-,CS12_00072,coaBC,cds,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC,"COG:COG0452, COG:H, EC:4.1.1.36, EC:6.3.2.5, GO:0004632, GO:0004633, GO:0005829, GO:0010181, GO:0015937, GO:0015941, GO:0042802, GO:0046872, GO:0071513, RefSeq:WP_000050139.1, SO:0001217, UniParc:UPI00001291FD, UniRef:UniRef100_P0ABQ0, UniRef:UniRef50_P0ABQ0, UniRef:UniRef90_P0ABQ0",coaBC
chromosome,cds,73817,74485,+,CS12_00073,radC,cds,DNA repair protein RadC,"COG:COG2003, COG:L, GO:0003677, GO:0006281, GO:0006508, GO:0008237, GO:0046872, RefSeq:WP_001336353.1, SO:0001217, UniParc:UPI0001DB8F8E, UniRef:UniRef100_A0A0G9G5Z4, UniRef:UniRef50_P25531, UniRef:UniRef90_P25531",radC
chromosome,cds,74702,74938,+,CS12_00074,rpmB,cds,50S ribosomal protein L28,"COG:COG0227, COG:J, GO:0003735, GO:0005840, GO:0006412, GO:0022625, RefSeq:WP_000091955.1, SO:0001217, UniParc:UPI0000163A30, UniRef:UniRef100_P0A7M2, UniRef:UniRef50_P0A7M2, UniRef:UniRef90_P0A7M2",rpmB
chromosome,cds,74959,75126,+,CS12_00075,rpmG,cds,50S ribosomal protein L33,"COG:COG0267, COG:J, GO:0003735, GO:0005840, GO:0006412, GO:0022625, KEGG:K02913, RefSeq:WP_001051798.1, SO:0001217, UniParc:UPI000005A6F0, UniRef:UniRef100_A8ARM4, UniRef:UniRef50_Q9HTN9, UniRef:UniRef90_A1JHR4",rpmG
